batch,network_type,group,round,median_vote,score_gini,vote_var,vote_mad,vote_kurt
2,segr,208,1,20,0.20807453416149074,446.3405797101449,16.8125,1.515932529341944
2,segr,208,2,25,0.19234462177241463,727.9935064935065,20.380165289256198,0.9134914129767258
2,segr,208,3,30,0.154106337526703,808.8379446640316,21.708884688090738,0.17655444517884034
2,segr,214,1,25,0.17307461971493598,666.3188405797102,19.11111111111111,1.7178070266815064
2,segr,214,2,35,0.14399574920297548,1083.9926470588234,27.709342560553633,-0.999837310610749
2,segr,214,3,36,0.1283434420513902,958.8006535947709,25.148148148148145,-0.8165214979688975
3,segr,302,1,10,0.312938177182919,224.215579710145,11.197916666666666,1.4283150458385245
3,segr,302,2,10,0.3432196339434275,172.2904761904762,9.038548752834467,5.343968876800284
3,segr,302,3,10,0.31134020618556696,505.9000000000001,14.0,6.469633478150158
3,segr,308,1,22,0.19231903722494248,844.2536231884058,24.6875,-0.937759917598346
3,segr,308,2,30,0.1901752436511794,853.1535947712418,21.790123456790123,0.00526686230544815
3,segr,308,3,34,0.16792469200069401,895.7516339869281,24.185185185185187,-0.5600909385643522
3,segr,314,1,20,0.20807453416149074,898.4329710144928,24.010416666666668,0.4880171383861649
3,segr,314,2,20,0.2217739809101935,1247.0216450216449,28.661157024793397,-0.6016674727334577
3,segr,314,3,20,0.2274935920620192,1161.1052631578948,26.5,-0.32288009583870325
3,segr,320,1,20,0.20807453416149074,689.4710144927536,18.055555555555557,2.619394424512933
3,segr,320,2,20,0.22327746741154558,691.0151515151516,18.702479338842977,1.8154260350133757
3,segr,320,3,20,0.223068842169652,543.2662337662337,16.202479338842974,3.7710289763609
1,homo,106,1,20,0.20807453416149074,763.644927536232,19.944444444444443,1.952067687171323
1,homo,106,2,30,0.16652061855670103,911.8476190476191,22.893424036281182,-0.0490712286892907
1,homo,106,3,30,0.16012255479613463,932.3619047619047,22.6031746031746,0.040830856432481966
1,homo,112,1,22,0.19587010538942673,1106.0592885375495,27.164461247637053,-0.5606788752696703
1,homo,112,2,25,0.1829954218443426,1086.1739130434783,25.179584120982987,-0.3470350418233745
1,homo,112,3,27,0.170477997123262,1140.4466403162055,26.90359168241966,-0.7896057179776284
1,homo,118,1,26,0.16757810384969407,1004.9981884057974,26.17361111111111,-0.566204653099645
1,homo,118,2,30,0.1570447513395217,926.051948051948,24.00826446280992,-0.4042615135781764
1,homo,118,3,38,0.15435043014265493,937.5291666666667,23.703125,-0.7439174717138202
2,homo,206,1,38,0.1108118507118123,1238.144927536232,29.194444444444446,-1.0383819891647597
2,homo,206,2,38,0.13134528185113603,1046.0000000000002,25.2,-0.5785223905674686
2,homo,206,3,41,0.11154367615727287,1024.6333333333332,25.07936507936508,-0.7315412240032253
2,homo,212,1,30,0.14494406160659706,613.2971014492754,17.944444444444446,1.6826486538553382
2,homo,212,2,40,0.10795191863153042,469.5757575757575,14.760330578512397,1.4715407375678868
2,homo,212,3,50,0.08939955522609336,617.2631578947369,18.2,-0.04827441563106616
2,homo,218,1,34,0.12697864104513723,811.6938405797101,22.45486111111111,-0.15616742228865954
