network_type,group,median_vote,score_gini,vote_var,vote_mad,vote_kurt
poor,906,27,0.1611097911881946,938.3460144927537,25.534722222222218,-0.5823114240203155
poor,907,31,0.14001583377764854,581.9057971014494,18.23611111111111,1.2069645683618377
poor,908,20,0.20807453416149074,970.5434782608696,26.291666666666668,-0.5564539208221713
poor,909,20,0.20807453416149074,498.3405797101448,16.819444444444446,0.838233650073255
poor,910,38,0.1108118507118123,834.0,22.833333333333332,-0.5107344242515439
repr,101,25,0.17307461971493598,894.9565217391306,22.541666666666668,0.3597636065367751
repr,107,24,0.17940899680030126,1197.4329710144928,29.364583333333332,-0.8635537521873746
repr,113,25,0.17307461971493598,952.927536231884,22.597222222222218,0.34912308374733936
repr,201,28,0.15571083505866126,809.6503623188407,21.618055555555554,0.46805058731682747
repr,207,26,0.16757810384969407,1148.3894927536232,27.447916666666668,-0.6186707445202191
repr,213,40,0.10385093167701856,1371.7807971014497,32.635416666666664,-1.5395215804095466
repr,301,27,0.1611097911881946,830.195652173913,22.875,-0.36384010663150645
repr,307,34,0.12697864104513723,817.5489130434781,22.354166666666668,-0.08867342827708136
repr,313,32,0.13586558369167073,700.6503623188406,20.052083333333332,0.5722905825793148
repr,319,30,0.14494406160659706,485.98369565217405,16.072916666666668,1.5535694706228913
rich,104,32,0.13586558369167073,1135.9981884057975,28.65625,-1.1233635121605958
rich,110,50,0.07438349508810602,1061.4329710144928,27.184027777777782,-1.1758413601578237
rich,116,30,0.14494406160659706,737.0416666666667,23.791666666666668,-1.0355976794419952
rich,204,25,0.17307461971493598,901.4999999999999,24.791666666666668,-0.2989363739365851
rich,210,28,0.15571083505866126,846.5634057971016,22.947916666666668,-0.009194492221868522
rich,216,36,0.11853002070393368,1107.413043478261,27.3125,-0.9958026050319928
rich,304,40,0.10385093167701856,834.3025362318843,22.961805555555554,-0.6612771305118881
rich,310,40,0.10385093167701856,831.1286231884058,23.39236111111111,-0.727716815462637
rich,316,30,0.14494406160659706,715.998188405797,20.409722222222225,0.04587222788236334
rich,322,36,0.11853002070393368,302.6086956521739,14.166666666666666,-0.5676159334126041
rich,901,34,0.12697864104513723,977.7391304347824,24.583333333333332,-0.6131782557242911
rich,902,20,0.20807453416149074,898.6884057971016,24.472222222222225,-0.3080009855728161
rich,903,38,0.1108118507118123,1086.1449275362318,27.638888888888886,-1.0551840791480125
rich,904,38,0.1108118507118123,1081.1721014492753,26.934027777777782,-1.052226857192234
rich,905,20,0.20807453416149074,962.8097826086953,25.34375,-0.14673649679444756
rich,906,40,0.10385093167701856,863.3025362318841,22.54861111111111,-0.2543925194336305
rich,907,40,0.10385093167701856,649.3623188405797,19.916666666666668,0.13755406667620385
rich,908,42,0.0975551005660604,1034.3405797101448,27.916666666666668,-1.15156603758676
rich,909,39,0.10708651479775336,666.2590579710145,20.725694444444443,-0.40745411735341586
rich,910,25,0.17307461971493598,834.7753623188407,24.236111111111114,-0.5532367319509093
segr,102,20,0.20807453416149074,632.0217391304349,18.875,1.447050481485582
segr,108,20,0.20807453416149074,798.7807971014493,18.569444444444446,2.142198139682785
segr,114,22,0.19231903722494248,848.695652173913,22.833333333333332,0.3902359811710565
